match_id,team1,team2,date,src_team1_score,src_team2_score,team1_xg,team2_xg,team1_shots,team2_shots,team1_sot,team2_sot,team1_big_chances,team2_big_chances,team1_poss,team2_poss,source,match_url,note
34,Ecuador,Curaçao,06/20/2026,0,0,2.84,0.5,27,10,15,3,6,0,75,25,Sofascore,https://www.sofascore.com/football/match/curacao-ecuador/hVbsCqx#id:15186906,
35,Netherlands,Sweden,06/20/2026,5,1,2.61,1.01,10,16,7,8,3,2,51,49,Sofascore,https://www.sofascore.com/football/match/netherlands-sweden/NTbsfUb#id:15186957,
36,Tunisia,Japan,06/20/2026,0,4,0.05,2.13,2,11,0,5,0,4,38,62,Sofascore,https://www.sofascore.com/football/match/japan-tunisia/EUbsvVb#id:15186963,
37,Belgium,Iran,06/21/2026,0,0,1.79,0.62,23,7,7,3,1,1,70,30,Sofascore,https://www.sofascore.com/football/match/iran-belgium/rUbsqVb#id:15186499,
38,New Zealand,Egypt,06/21/2026,1,3,1.24,1.87,11,19,5,7,3,3,44,56,Sofascore,https://www.sofascore.com/football/match/new-zealand-egypt/iVbsJVb#id:15186827,
39,Spain,Saudi Arabia,06/21/2026,4,0,2.3,0.14,22,3,8,1,5,0,67,33,Sofascore,https://www.sofascore.com/football/match/saudi-arabia-spain/YTbsJWb#id:15186840,
40,Uruguay,Cape Verde,06/21/2026,2,2,2.32,0.88,17,12,2,4,2,1,65,35,Sofascore,https://www.sofascore.com/football/match/cabo-verde-uruguay/AUbsdVb#id:15186800,
41,France,Iraq,06/22/2026,3,0,2.67,0.63,19,4,5,0,5,1,56,44,Sofascore,https://www.sofascore.com/football/match/iraq-france/GObsrVb#id:15186769,
42,Norway,Senegal,06/22/2026,3,2,2.2,1.72,13,16,7,4,5,3,42,58,Sofascore,https://www.sofascore.com/football/match/senegal-norway/AObsOUb#id:15186770,
43,Argentina,Austria,06/22/2026,2,0,2.36,0.53,12,6,5,1,3,1,54,46,Sofascore,https://www.sofascore.com/football/match/argentina-austria/tUbsuWb#id:15186502,
44,Jordan,Algeria,06/22/2026,1,2,0.63,1.89,8,17,4,8,1,3,28,72,Sofascore,https://www.sofascore.com/football/match/jordan-algeria/QTbswVb#id:15186740,
45,Portugal,Uzbekistan,06/23/2026,5,0,2.61,0.24,17,7,9,2,7,0,66,34,Sofascore,https://www.sofascore.com/football/match/uzbekistan-portugal/eUbsyUb#id:15186858,
46,Panama,Croatia,06/23/2026,0,1,0.55,1.65,8,6,1,2,1,3,42,58,Sofascore,https://www.sofascore.com/football/match/panama-croatia/pUbsodc#id:15186520,
47,Colombia,Democratic Republic of the Congo,06/23/2026,1,0,0.98,0.37,20,7,9,1,2,0,64,36,Sofascore,https://www.sofascore.com/football/match/dr-congo-colombia/vWbsyWb#id:15186713,
48,England,Ghana,06/23/2026,0,0,1.36,0.17,19,2,3,1,2,1,79,21,Sofascore,https://www.sofascore.com/football/match/ghana-england/nUbsoVb#id:15186672,
49,Scotland,Brazil,06/24/2026,0,3,1.04,4.33,14,21,5,9,2,6,46,54,Sofascore,https://www.sofascore.com/football/match/brazil-scotland/VTbsYUb#id:15186861,
50,Morocco,Haiti,06/24/2026,4,2,3.76,1.22,22,9,11,2,5,1,69,31,Sofascore,https://www.sofascore.com/football/match/haiti-morocco/DVbsEUc#id:15186864,
51,South Africa,South Korea,06/24/2026,1,0,1.16,0.9,13,8,4,3,1,1,32,68,Sofascore,https://www.sofascore.com/football/match/south-africa-south-korea/KUbsLUb#id:15186744,
52,Czech Republic,Mexico,06/24/2026,0,3,0.53,1.74,13,11,1,5,0,5,52,48,Sofascore,https://www.sofascore.com/football/match/mexico-czechia/oUbsGVb#id:15186732,
53,Bosnia and Herzegovina,Qatar,06/24/2026,3,1,0.68,0.77,14,9,5,3,1,3,54,46,Sofascore,https://www.sofascore.com/football/match/qatar-bosnia-and-herzegovina/EObsRVb#id:15186829,
54,Switzerland,Canada,06/24/2026,2,1,1.11,1.66,6,13,4,7,3,3,55,45,Sofascore,https://www.sofascore.com/football/match/canada-switzerland/ZTbscVb#id:15186821,
55,Curaçao,Ivory Coast,06/25/2026,0,2,0.5,1.31,11,7,2,3,0,3,37,63,Sofascore,https://www.sofascore.com/football/match/curacao-cote-divoire/tVbsCqx#id:15186908,
56,Ecuador,Germany,06/25/2026,2,1,1.27,0.65,7,11,3,3,2,2,39,61,Sofascore,https://www.sofascore.com/football/match/ecuador-germany/lUbshVb#id:15186907,
57,Paraguay,Australia,06/25/2026,0,0,0.24,0.55,7,12,2,5,,,44,56,Sofascore,https://www.sofascore.com/football/match/paraguay-australia/QUbsOVb#id:15186891,
58,Turkey,United States,06/25/2026,3,2,3.05,2.13,9,18,3,7,5,4,47,53,Sofascore,https://www.sofascore.com/football/match/usa-turkiye/aUbszUb#id:15186887,
59,Japan,Sweden,06/25/2026,1,1,1.21,0.64,8,11,3,5,2,1,52,48,Sofascore,https://www.sofascore.com/football/match/japan-sweden/NTbsvVb#id:15186972,
60,Tunisia,Netherlands,06/25/2026,1,3,0.62,1.85,10,20,4,7,2,2,29,71,Sofascore,https://www.sofascore.com/football/match/tunisia-netherlands/fUbsEUb#id:15186973,
61,Senegal,Iraq,06/26/2026,5,0,3.01,0.14,28,6,12,1,5,0,69,31,Sofascore,https://www.sofascore.com/football/match/iraq-senegal/OUbsrVb#id:15186771,
62,Norway,France,06/26/2026,1,4,1.7,1.5,10,18,4,9,4,3,43,57,Sofascore,https://www.sofascore.com/football/match/france-norway/AObsGOb#id:15186537,
63,Egypt,Iran,06/26/2026,1,1,0.84,1.97,15,13,3,4,0,5,61,39,Sofascore,https://www.sofascore.com/football/match/iran-egypt/iVbsqVb#id:15186828,
64,New Zealand,Belgium,06/26/2026,1,5,0.24,3.64,6,35,2,10,0,4,46,54,Sofascore,https://www.sofascore.com/football/match/new-zealand-belgium/rUbsJVb#id:15186822,
65,Cape Verde,Saudi Arabia,06/26/2026,0,0,1.39,0.39,15,7,2,3,1,1,51,49,Sofascore,https://www.sofascore.com/football/match/saudi-arabia-cabo-verde/dVbsJWb#id:15186803,
66,Uruguay,Spain,06/26/2026,0,1,0.2,0.86,5,6,1,1,1,1,33,67,Sofascore,https://www.sofascore.com/football/match/uruguay-spain/YTbsAUb#id:15186841,
67,Panama,England,06/27/2026,0,2,0.66,1.56,13,17,2,6,0,4,33,67,Sofascore,https://www.sofascore.com/football/match/panama-england/nUbsodc#id:15186676,
68,Croatia,Ghana,06/27/2026,2,1,0.42,0.64,8,6,4,1,0,2,53,47,Sofascore,https://www.sofascore.com/football/match/ghana-croatia/pUbsoVb#id:15186624,
69,Algeria,Austria,06/27/2026,3,3,1.67,1.49,12,10,5,3,3,3,65,35,Sofascore,https://www.sofascore.com/football/match/austria-algeria/QTbstUb#id:15186747,
70,Jordan,Argentina,06/27/2026,1,3,0.76,2.13,5,12,1,4,1,3,27,73,Sofascore,https://www.sofascore.com/football/match/argentina-jordan/wVbsuWb#id:15186734,
71,Colombia,Portugal,06/27/2026,0,0,1.7,0.93,24,13,6,2,2,2,55,45,Sofascore,https://www.sofascore.com/football/match/colombia-portugal/eUbsvWb#id:15186696,
72,Democratic Republic of the Congo,Uzbekistan,06/27/2026,3,1,2.18,0.2,19,3,4,1,3,0,58,42,Sofascore,https://www.sofascore.com/football/match/dr-congo-uzbekistan/yUbsyWb#id:15186717,
73,South Africa,Canada,06/28/2026,0,1,0.14,1.38,6,12,1,7,0,4,58,42,Sofascore,https://www.sofascore.com/football/match/canada-south-africa/LUbscVb#id:12813000,
74,Germany,Paraguay,06/29/2026,1,1,1.57,0.35,21,7,6,3,2,3,76,24,Sofascore,https://www.sofascore.com/football/match/paraguay-germany/lUbsOVb#id:12813014,
