config,val_accuracy,val_logloss,val_matches,match_acc,match_logloss,match_n,draws_predicted,group_winners,groups,r32_hits,advance_acc,advance_auc,teams
poisson_base,0.5157232704402516,1.0064348484353163,2544,0.4861111111111111,1.044332071393693,72,0,7,12,24,0.6666666666666666,0.7265625,48
poisson_recency_1.5,0.514937106918239,1.0065019570375537,2544,0.5138888888888888,1.0441937201929121,72,0,6,12,24,0.6666666666666666,0.736328125,48
poisson_recency_4.0,0.5200471698113207,1.00696972411574,2544,0.5277777777777778,1.0434185623585182,72,0,8,12,24,0.6666666666666666,0.7265625,48
poisson_elo_0.5,0.6175314465408805,0.8594168658145289,2544,0.625,0.843962435110115,72,0,11,12,26,0.75,0.857421875,48
poisson_elo_1.0,0.6183176100628931,0.9367654664285388,2544,0.625,0.865588350309048,72,0,12,12,26,0.75,0.859375,48
poisson_elo_1.5,0.6206761006289309,1.1787578379159054,2544,0.6388888888888888,1.0887708025780956,72,0,11,12,26,0.75,0.853515625,48
poisson_elo_1.0_rec2,0.6183176100628931,0.9376004841192034,2544,0.625,0.8657635596410725,72,0,12,12,26,0.75,0.859375,48
